question id,LINKED BS hits,LINKED FS hits,RELATED BS hits,RELATED FS hits
25837,1,0,1,2
26419,1,0,1,1
24475,1,0,1,1
5758,1,0,1,1
23367,1,0,1,0
22245,1,0,0,1
23183,1,0,0,1
20526,1,0,0,1
11524,1,0,1,1
14189,1,0,1,0
10494,1,0,2,0
26285,0,2,0,1
34040,0,1,1,0
10089,0,1,2,0
30120,0,1,0,1
29452,0,1,0,1
26361,0,1,2,0
26235,0,1,0,1
26144,0,1,4,0
24685,0,1,6,0
23925,0,1,1,1
23086,0,1,1,2
21512,0,1,0,2
21011,0,1,1,0
18006,0,1,0,2
16518,0,1,1,2
16391,0,1,1,1
15532,0,1,0,1
12920,0,1,1,0
12743,0,1,3,2
11247,0,1,2,0
11144,0,0,6,2
14099,0,0,5,1
21219,0,0,5,1
34606,0,0,5,2
11949,0,0,5,2
18556,0,0,4,1
33374,0,0,4,1
25414,0,0,4,1
33903,0,0,3,2
2751,0,0,3,1
9686,0,0,3,1
30647,0,0,3,1
24260,0,0,3,1
21894,0,0,3,1
25244,0,0,3,2
33132,0,0,3,1
23634,0,0,3,1
20991,0,0,3,3
16881,0,0,3,1
15505,0,0,3,1
8042,0,0,3,2
24450,0,0,2,1
24302,0,0,2,1
26378,0,0,2,1
3720,0,0,2,2
21227,0,0,2,1
14971,0,0,2,1
18354,0,0,2,1
34851,0,0,2,1
8664,0,0,2,1
15516,0,0,2,1
34789,0,0,2,2
10772,0,0,2,1
14921,0,0,2,1
21805,0,0,2,1
20977,0,0,2,1
30443,0,0,2,2
10963,0,0,2,1
32837,0,0,2,2
24547,0,0,2,1
4672,0,0,2,2
25995,0,0,2,1
13932,0,0,2,1
29484,0,0,2,1
5646,0,0,2,2
7980,0,0,2,1
19894,0,0,2,1
4934,0,0,2,1
27244,0,0,2,2
22417,0,0,2,1
26839,0,0,2,1
26850,0,0,2,1
31686,0,0,2,1
32729,0,0,2,2
30719,0,0,2,3
25694,0,0,2,1
8853,0,0,2,1
16602,0,0,2,1
21035,0,0,2,1
35024,0,0,2,2
31570,0,0,2,1
26540,0,0,2,1
33297,0,0,2,1
15380,0,0,2,1
15707,0,0,1,1
26748,0,0,1,2
1117,0,0,1,2
10376,0,0,1,1
11868,0,0,1,3
20576,0,0,1,1
9845,0,0,1,1
33210,0,0,1,1
22238,0,0,1,1
6473,0,0,1,1
24845,0,0,1,1
22434,0,0,1,1
30538,0,0,1,1
30037,0,0,1,1
8410,0,0,1,2
8945,0,0,1,1
33945,0,0,1,1
26409,0,0,1,1
24311,0,0,1,1
15286,0,0,1,1
17268,0,0,1,1
26773,0,0,1,1
26717,0,0,1,2
30906,0,0,1,1
641,0,0,1,1
18638,0,0,1,1
12739,0,0,1,2
31274,0,0,1,1
30245,0,0,1,1
18649,0,0,1,1
16623,0,0,1,1
16383,0,0,1,1
4550,0,0,1,1
17588,0,0,1,3
1935,0,0,1,2
23996,0,0,1,1
28035,0,0,1,1
16858,0,0,1,1
33424,0,0,1,2
25786,0,0,1,1
23855,0,0,1,1
30408,0,0,1,1
17652,0,0,1,2
3045,0,0,1,1
34070,0,0,1,1
18124,0,0,1,1
9419,0,0,1,1
20648,0,0,1,1
17504,0,0,1,1
25789,0,0,1,1
27081,0,0,1,1
25937,0,0,1,1
4452,0,0,1,2
22132,0,0,1,1
33103,0,0,1,1
24527,0,0,1,1
12836,0,0,1,1
30883,0,0,1,1
22168,0,0,1,1
8111,0,0,1,2
5791,0,0,1,1
29613,0,0,1,1
27395,0,0,1,1
24726,0,0,1,2
20875,0,0,1,1
17169,0,0,1,2
17417,0,0,1,1
1358,0,0,1,1
23938,0,0,1,2
17557,0,0,1,1
33696,0,0,1,1
33259,0,0,1,1
24433,0,0,1,2
19797,0,0,1,1
3256,0,0,1,1
14460,0,0,1,1
31522,0,0,1,1
17178,0,0,1,1
33051,0,0,1,1
31540,0,0,1,1
21611,0,0,1,1
25557,0,0,1,2
22150,0,0,1,1
30760,0,0,1,1
26807,0,0,1,1
25162,0,0,1,1
13973,0,0,1,2
4320,0,0,1,2
14294,0,0,1,1
31204,0,0,1,2
28427,0,0,1,1
24701,0,0,1,1
9948,0,0,1,1
26949,0,0,1,1
26203,0,0,1,1
20635,0,0,1,1
16857,0,0,1,1
8564,0,0,1,1
11961,0,0,1,1
25249,0,0,1,1
27348,0,0,1,1
33864,0,0,1,1
17449,0,0,1,1
16731,0,0,1,1
28184,0,0,1,1
16549,0,0,1,1
22145,0,0,1,1
4378,0,0,1,2
12449,0,0,1,2
2789,0,0,1,2
15321,0,0,1,1
10026,0,0,1,1
24104,0,0,1,1
8167,0,0,1,1
2947,0,0,1,1
31454,0,0,1,1
12179,0,0,1,2
26971,0,0,1,3
4232,0,0,1,1
34722,0,0,1,1
23904,0,0,1,1
1856,0,0,1,1
12641,0,0,1,1
3475,0,0,1,1
27500,0,0,1,1
22870,0,0,1,1
10828,0,0,1,1
11264,0,0,1,1
3121,0,0,1,1
16156,0,0,1,1
15932,0,0,1,1
11747,0,0,1,1
9366,0,0,1,1
8787,0,0,1,1
2353,0,0,1,1
11934,0,0,1,1
8066,0,0,1,1
22199,0,0,1,1
21597,0,0,1,2
15934,0,0,1,1
15419,0,0,1,1
33516,0,0,1,1
28145,0,0,1,1
25050,0,0,1,1
18322,0,0,1,1
34605,0,0,1,1
27007,0,0,1,1
23724,0,0,1,1
30631,0,0,1,1
24333,0,0,1,1
14627,0,0,1,2
27061,0,0,1,1
21731,0,0,1,1
21295,0,0,1,1
11643,0,0,1,1
11051,0,0,1,1
27442,0,0,1,1
21831,0,0,1,1
2809,0,0,1,1
13945,0,0,1,1
15299,0,0,1,1
10116,0,0,1,2
20601,0,0,1,1
1885,0,0,1,2
6100,0,0,1,1
14861,0,0,1,1
14156,0,0,1,1
6347,0,0,1,2
1426,0,0,1,2
1789,0,0,1,1
17081,0,0,1,1
33306,0,0,1,1
30932,0,0,1,1
12932,0,0,1,1
1393,0,0,1,1
10146,0,0,1,1
6235,0,0,1,1
25495,0,0,1,1
30032,0,0,1,1
8388,0,0,1,1
6531,0,0,1,1
29786,0,0,1,2
26981,0,0,1,1
20191,0,0,1,1
4109,0,0,1,2
25157,0,0,1,1
5435,0,0,1,1
9694,0,0,1,1
404,0,0,1,1
23276,0,0,1,1
12182,0,0,1,1
22942,0,0,1,1
30030,0,0,1,1
16372,0,0,1,1
17971,0,0,1,1
5823,0,0,1,2
23494,0,0,1,1
9099,0,0,1,1
8508,0,0,1,1
1326,0,0,1,1