question id,hits
8286,6
11144,6
718,4
9631,3
15505,3
30153,2
10271,2
3939,2
30141,2
298,2
8664,2
20892,2
6698,2
15516,2
20090,2
15582,2
8189,2
4672,2
17540,2
8534,2
5646,2
4934,2
32729,2
7954,2
6776,2
30766,2
15707,1
16021,1
32776,1
20576,1
9845,1
261,1
6473,1
1655,1
3988,1
5681,1
30037,1
8410,1
24311,1
15286,1
641,1
1935,1
8593,1
1539,1
666,1
1063,1
33341,1
8111,1
8185,1
29613,1
24857,1
18282,1
18484,1
31614,1
6080,1
19797,1
15359,1
3256,1
4576,1
6714,1
5345,1
4320,1
24701,1
26203,1
30846,1
33783,1
1955,1
17449,1
5757,1
3202,1
29875,1
33135,1
17835,1
4378,1
10767,1
5795,1
4624,1
4232,1
3475,1
3611,1
11934,1
31388,1
28145,1
15299,1
1885,1
484,1
6100,1
6347,1
1426,1
26651,1
7852,1
8388,1
11665,1
5632,1
14839,1
18212,1
15777,1
4109,1
5435,1
33686,1
30068,1
3815,1
16372,1
14772,1
5264,1
2223,1
631,1
9099,1
1326,1